year,State,State.Minimum.Wage,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Total Employment in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area,Real GDP (Biillion),Nominal GDP
1976,Alabama,0,0,2.2,10,2.2,10,56.9,2632666.667,1500259.667,1399782.083,100477.5833,6.7,1873.4,6387.4
1976,Alaska,2.8,12.73,2.2,10,2.8,12.73,56.9,239916.6667,164279.0833,151832.8333,12446.25,7.566666667,1873.4,6387.4
1976,Arizona,0,0,2.2,10,2.2,10,56.9,1650916.667,981991.8333,886159.25,95832.58333,9.758333333,1873.4,6387.4
1976,Arkansas,1.9,8.64,2.2,10,2.2,10,56.9,1546583.333,893779.8333,832171.1667,61608.66667,6.916666667,1873.4,6387.4
1976,California,2,9.09,2.2,10,2.2,10,56.9,15823750,9898940.167,8993282.917,905657.25,9.15,1873.4,6387.4
1976,Colorado,1,4.55,2.2,10,2.2,10,56.9,1858250,1240464.917,1166952.833,73512.08333,5.916666667,1873.4,6387.4
1976,Connecticut,2.21,10.05,2.2,10,2.21,10.05,56.9,2260083.333,1453901.75,1320612.5,133289.25,9.175,1873.4,6387.4
1976,Delaware,2,9.09,2.2,10,2.2,10,56.9,420666.6667,263315.5833,240714.8333,22600.75,8.6,1873.4,6387.4
1976,District of Columbia,2.25,10.23,2.2,10,2.25,10.23,56.9,517250,331975.5833,303379.9167,28595.66667,8.616666667,1873.4,6387.4
1976,Florida,0,0,2.2,10,2.2,10,56.9,6509000,3600522.5,3266309.667,334212.8333,9.3,1873.4,6387.4
1976,Georgia,1.25,5.68,2.2,10,2.2,10,56.9,3557750,2271107.417,2086055.25,185052.1667,8.158333333,1873.4,6387.4
1976,Hawaii,2.4,10.91,2.2,10,2.4,10.91,56.9,591833.3333,409743.1667,372066.3333,37676.83333,9.2,1873.4,6387.4
1976,Idaho,1.6,7.27,2.2,10,2.2,10,56.9,589333.3333,372450.5,351408.75,21041.75,5.65,1873.4,6387.4
1976,Illinois,2.1,9.55,2.2,10,2.2,10,56.9,8177500,5147815.667,4811745.583,336070.0833,6.55,1873.4,6387.4
1976,Indiana,1.25,5.68,2.2,10,2.2,10,56.9,3812500,2439261.083,2292169.75,147091.3333,6.033333333,1873.4,6387.4
1976,Iowa,0,0,2.2,10,2.2,10,56.9,2081583.333,1338952.917,1284100,54852.91667,4.083333333,1873.4,6387.4
1976,Kansas,0,0,2.2,10,2.2,10,56.9,1647583.333,1077083.75,1032512.917,44570.83333,4.15,1873.4,6387.4
1976,Kentucky,1.6,7.27,2.2,10,2.2,10,56.9,2486500,1493296.25,1412261.417,81034.83333,5.416666667,1873.4,6387.4
1976,Louisiana,0,0,2.2,10,2.2,10,56.9,2707250,1531483.083,1429838.583,101644.5,6.641666667,1873.4,6387.4
