Year,State,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Percent (%) of Labor Force Unemployed in State/Area,total_import,GDP,Real GDP*,Effective Federal Funds Rate,Inflation Rate,Population,violent total,Murder,rape,Robbery,Aggravated assault,property total,Burglary,Larceny theft,vehicle theft
1992,Alabama,0.0,7.84,7.84,140.3,3151380.25,1962245.8333333333,7.525,532665.0,6520.3,10398.0,3.5216666666666665,3.65,4136000,871.7,11.0,41.2,164.9,654.6,4396.4,1186.0,2848.2,362.3
1992,Alaska,8.76,7.84,8.76,140.3,394653.6666666667,286332.9166666667,8.858333333333333,532665.0,6520.3,10398.0,3.5216666666666665,3.65,587000,660.5,7.5,98.6,109.0,445.3,4909.0,880.7,3531.2,497.1
1992,Arizona,0.0,7.84,7.84,140.3,2954322.25,1875193.9166666667,7.566666666666666,532665.0,6520.3,10398.0,3.5216666666666665,3.65,3832000,670.8,8.1,43.0,153.1,466.6,6357.8,1411.7,4124.6,821.5
1992,Arkansas,6.73,7.84,7.84,140.3,1824975.75,1159072.0,7.0,532665.0,6520.3,10398.0,3.5216666666666665,3.65,2399000,576.5,10.8,41.3,125.5,399.0,4185.2,1092.7,2763.2,329.3
1992,California,7.84,7.84,7.84,140.3,23048541.583333332,15301725.166666666,9.35,532665.0,6520.3,10398.0,3.5216666666666665,3.65,30867000,1119.7,12.7,41.3,424.1,641.6,5559.8,1384.9,3137.8,1037.1
1992,Colorado,5.53,7.84,7.84,140.3,2619814.0,1847596.1666666667,6.091666666666666,532665.0,6520.3,10398.0,3.5216666666666665,3.65,3470000,578.8,6.2,47.3,120.5,404.9,5379.9,1090.9,3780.1,509.0
1992,Connecticut,7.87,7.84,7.87,140.3,2558623.75,1818475.1666666667,7.333333333333333,532665.0,6520.3,10398.0,3.5216666666666665,3.65,3281000,495.3,5.1,26.9,210.9,252.5,4557.6,1108.6,2726.7,722.3
1992,Delaware,7.84,7.84,7.84,140.3,528653.3333333334,366972.4166666667,5.2250000000000005,532665.0,6520.3,10398.0,3.5216666666666665,3.65,689000,621.2,4.6,85.8,151.2,379.5,4227.3,957.6,2963.6,306.1
1992,District of Columbia,7.19,7.84,7.84,140.3,473734.3333333333,317056.1666666667,8.583333333333334,532665.0,6520.3,10398.0,3.5216666666666665,3.65,589000,2832.8,75.2,36.5,1266.4,1454.7,8574.2,1820.2,5205.9,1548.0
1992,Florida,0.0,7.84,7.84,140.3,10689834.166666666,6626233.5,8.366666666666667,532665.0,6520.3,10398.0,3.5216666666666665,3.65,13488000,1207.2,9.0,54.2,366.9,777.2,7151.0,1888.8,4434.3,828.0
1992,Georgia,5.99,7.84,7.84,140.3,5085498.333333333,3421064.0,6.583333333333333,532665.0,6520.3,10398.0,3.5216666666666665,3.65,6751000,733.2,11.0,45.3,249.8,427.1,5672.3,1442.8,3653.1,576.4
1992,Hawaii,7.1,7.84,7.84,140.3,840083.6666666666,576816.1666666666,4.141666666666667,532665.0,6520.3,10398.0,3.5216666666666665,3.65,1160000,258.4,3.6,37.9,99.2,117.7,5853.5,1121.2,4357.2,375.1
1992,Idaho,7.84,7.84,7.84,140.3,775170.5,529631.6666666666,6.516666666666667,532665.0,6520.3,10398.0,3.5216666666666665,3.65,1067000,281.4,3.5,31.8,21.5,224.7,3714.7,743.6,2813.8,157.4
1992,Illinois,7.84,7.84,7.84,140.3,8844258.583333334,6026608.0,7.866666666666667,532665.0,6520.3,10398.0,3.5216666666666665,3.65,11631000,977.3,11.4,37.1,412.5,516.4,4788.1,1077.3,3091.9,618.8
1992,Indiana,6.18,7.84,7.84,140.3,4289722.0,2859774.5,6.091666666666666,532665.0,6520.3,10398.0,3.5216666666666665,3.65,5662000,508.5,8.2,42.4,122.2,335.7,4178.5,952.1,2776.1,450.3
1992,Iowa,8.57,7.84,8.57,140.3,2124507.1666666665,1525113.4166666667,4.483333333333333,532665.0,6520.3,10398.0,3.5216666666666665,3.65,2812000,278.0,1.6,18.8,39.6,218.0,3679.2,753.8,2766.3,159.1
1992,Kansas,4.89,7.84,7.84,140.3,1857693.6666666667,1310337.4166666667,4.566666666666666,532665.0,6520.3,10398.0,3.5216666666666665,3.65,2523000,510.8,6.0,41.3,129.9,333.7,4809.1,1293.7,3191.7,323.8
1992,Kentucky,7.84,7.84,7.84,140.3,2856435.0,1777316.0,6.891666666666667,532665.0,6520.3,10398.0,3.5216666666666665,3.65,3755000,535.5,5.8,32.2,87.2,410.4,2788.1,729.1,1842.5,216.5
1992,Louisiana,0.0,7.84,7.84,140.3,3119232.8333333335,1924339.4166666667,7.833333333333333,532665.0,6520.3,10398.0,3.5216666666666665,3.65,4287000,984.6,17.4,42.3,271.4,653.4,5561.9,1366.3,3567.5,628.1
1992,Maine,7.84,7.84,7.84,140.3,945376.6666666666,641027.5833333334,7.333333333333333,532665.0,6520.3,10398.0,3.5216666666666665,3.65,1235000,130.9,1.7,23.8,23.3,82.0,3392.7,822.3,2426.4,144.0
1992,Maryland,7.84,7.84,7.84,140.3,3743319.1666666665,2654918.6666666665,6.533333333333334,532665.0,6520.3,10398.0,3.5216666666666665,3.65,4908000,1000.1,12.1,46.4,429.0,512.6,5224.5,1131.2,3366.8,726.4
1992,Massachusetts,7.84,7.84,7.84,140.3,4685947.0,3184326.5,8.775,532665.0,6520.3,10398.0,3.5216666666666665,3.65,5998000,779.0,3.6,36.1,184.4,555.0,4223.8,1072.3,2361.0,790.5
1992,Michigan,6.18,7.84,7.84,140.3,7128842.833333333,4670404.666666667,9.066666666666666,532665.0,6520.3,10398.0,3.5216666666666665,3.65,9437000,770.1,9.9,80.0,221.5,458.6,4840.5,1041.2,3173.5,625.8
1992,Minnesota,7.84,7.84,7.84,140.3,3345227.75,2464563.9166666665,5.033333333333333,532665.0,6520.3,10398.0,3.5216666666666665,3.65,4480000,338.0,3.3,41.1,109.5,184.1,4252.7,889.7,3007.8,355.2
1992,Mississippi,0.0,7.84,7.84,140.3,1928941.0,1192344.9166666667,7.974999999999999,532665.0,6520.3,10398.0,3.5216666666666665,3.65,2614000,411.7,12.2,44.6,124.5,230.4,3870.7,1282.8,2251.4,336.5
1992,Missouri,7.84,7.84,7.84,140.3,3921320.75,2642546.0833333335,6.175,532665.0,6520.3,10398.0,3.5216666666666665,3.65,5193000,740.4,10.5,36.5,226.9,466.5,4356.7,1100.1,2759.3,497.4
1992,Montana,7.84,7.84,7.84,140.3,612721.25,418948.75,6.708333333333333,532665.0,6520.3,10398.0,3.5216666666666665,3.65,824000,169.9,2.9,25.5,26.9,114.6,4426.2,643.9,3548.9,233.4
1992,Nebraska,7.84,7.84,7.84,140.3,1188101.1666666667,848371.5833333334,2.8666666666666667,532665.0,6520.3,10398.0,3.5216666666666665,3.65,1606000,348.6,4.2,31.4,56.7,256.2,3975.5,714.6,3060.0,200.8
1992,Nevada,7.84,7.84,7.84,140.3,1046897.8333333334,728803.8333333334,6.8,532665.0,6520.3,10398.0,3.5216666666666665,3.65,1327000,696.8,10.9,62.8,331.3,291.8,5506.9,1289.2,3520.3,697.4
1992,New Hampshire,7.84,7.84,7.84,140.3,850002.9166666666,618087.25,7.3,532665.0,6520.3,10398.0,3.5216666666666665,3.65,1111000,125.7,1.6,38.2,33.0,52.9,2954.8,621.9,2138.1,194.9
1992,New Jersey,7.84,7.84,7.84,140.3,6097352.833333333,4057733.3333333335,8.508333333333333,532665.0,6520.3,10398.0,3.5216666666666665,3.65,7789000,625.8,5.1,30.7,285.2,304.8,4438.5,969.4,2653.6,815.6
1992,New Mexico,6.18,7.84,7.84,140.3,1164473.1666666667,736980.9166666666,7.316666666666666,532665.0,6520.3,10398.0,3.5216666666666665,3.65,1581000,934.9,8.9,62.6,139.3,724.1,5499.2,1511.4,3609.9,377.9
1992,New York,7.84,7.84,7.84,140.3,14116133.583333334,8751013.833333334,8.683333333333334,532665.0,6520.3,10398.0,3.5216666666666665,3.65,18119000,1122.1,13.2,28.4,596.9,483.5,4736.3,1068.2,2735.8,932.3
1992,North Carolina,7.01,7.84,7.84,140.3,5271772.75,3602583.6666666665,6.25,532665.0,6520.3,10398.0,3.5216666666666665,3.65,6843000,681.0,10.6,35.9,186.8,447.7,5121.2,1653.0,3181.6,286.6
1992,North Dakota,7.84,7.84,7.84,140.3,466195.4166666667,317182.1666666667,4.566666666666666,532665.0,6520.3,10398.0,3.5216666666666665,3.65,636000,83.3,1.9,23.3,7.9,50.3,2820.0,391.0,2279.6,149.4
1992,Ohio,7.84,7.84,7.84,140.3,8342929.333333333,5496287.416666667,7.391666666666667,532665.0,6520.3,10398.0,3.5216666666666665,3.65,11016000,525.9,6.6,52.1,199.0,268.2,4139.6,947.3,2721.3,471.0
1992,Oklahoma,7.84,7.84,7.84,140.3,2389341.4166666665,1526031.1666666667,5.866666666666667,532665.0,6520.3,10398.0,3.5216666666666665,3.65,3212000,622.8,6.5,48.4,136.2,431.6,4808.8,1359.8,2932.1,516.8
1992,Oregon,8.76,7.84,8.76,140.3,2292833.3333333335,1557807.75,7.275,532665.0,6520.3,10398.0,3.5216666666666665,3.65,2977000,510.2,4.7,53.1,151.4,301.1,5310.7,1106.7,3670.6,533.5
1992,Pennsylvania,7.84,7.84,7.84,140.3,9284188.916666666,5895352.0,7.45,532665.0,6520.3,10398.0,3.5216666666666665,3.65,12009000,427.0,6.2,27.7,180.7,212.4,2965.7,631.5,1866.5,467.7
1992,Rhode Island,8.2,7.84,8.2,140.3,779475.3333333334,530184.3333333334,8.983333333333333,532665.0,6520.3,10398.0,3.5216666666666665,3.65,1005000,394.5,3.6,30.9,94.5,265.5,4183.5,1047.7,2393.2,742.6
1992,South Carolina,0.0,7.84,7.84,140.3,2699744.6666666665,1799853.6666666667,6.75,532665.0,6520.3,10398.0,3.5216666666666665,3.65,3603000,944.5,10.4,57.5,170.6,706.0,4948.6,1378.5,3224.7,345.4
1992,South Dakota,7.84,7.84,7.84,140.3,511042.6666666667,360919.25,3.475,532665.0,6520.3,10398.0,3.5216666666666665,3.65,711000,194.5,0.6,51.8,16.9,125.3,2804.4,541.4,2161.9,101.1
1992,Tennessee,0.0,7.84,7.84,140.3,3875816.4166666665,2468144.1666666665,6.45,532665.0,6520.3,10398.0,3.5216666666666665,3.65,5024000,746.2,10.4,47.3,218.2,470.3,4389.6,1267.2,2546.5,575.9
1992,Texas,6.18,7.84,7.84,140.3,13035341.333333334,8999534.333333334,7.683333333333334,532665.0,6520.3,10398.0,3.5216666666666665,3.65,17656000,806.3,12.7,53.4,252.5,487.7,6251.6,1523.2,3906.8,821.7
1992,Utah,7.84,7.84,7.84,140.3,1250593.5,882295.0833333334,4.875,532665.0,6520.3,10398.0,3.5216666666666665,3.65,1813000,290.5,3.0,45.4,55.9,186.2,5368.0,885.0,4245.1,237.9
1992,Vermont,7.84,7.84,7.84,140.3,434826.5833333333,311639.1666666667,6.25,532665.0,6520.3,10398.0,3.5216666666666665,3.65,570000,109.5,2.1,24.9,8.9,73.5,3300.5,825.6,2369.6,105.3
1992,Virginia,6.73,7.84,7.84,140.3,4780309.833333333,3376569.8333333335,6.158333333333334,532665.0,6520.3,10398.0,3.5216666666666665,3.65,6377000,374.9,8.8,31.5,137.8,196.8,3923.6,709.1,2909.0,305.6
1992,Washington,7.84,7.84,7.84,140.3,3857917.5833333335,2645928.75,7.191666666666666,532665.0,6520.3,10398.0,3.5216666666666665,3.65,5136000,534.5,5.0,72.0,139.8,317.8,5638.3,1121.7,4045.1,471.5
1992,West Virginia,7.01,7.84,7.84,140.3,1415983.0,787333.5,11.233333333333334,532665.0,6520.3,10398.0,3.5216666666666665,3.65,1812000,211.5,6.3,21.7,43.5,140.0,2398.2,622.9,1611.5,163.8
1992,Wisconsin,7.01,7.84,7.84,140.3,3766809.1666666665,2695902.5833333335,5.091666666666667,532665.0,6520.3,10398.0,3.5216666666666665,3.65,5007000,275.7,4.4,26.3,119.8,125.3,4043.3,691.9,2919.9,431.5
1992,Wyoming,2.95,7.84,7.84,140.3,339655.0,239165.25,5.416666666666667,532665.0,6520.3,10398.0,3.5216666666666665,3.65,466000,319.5,3.6,35.0,18.0,262.9,4255.6,671.0,3434.1,150.4
1993,Alabama,0.0,7.61,7.61,144.5,3194255.25,1996874.0,7.241666666666667,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,4187000,780.4,11.6,35.1,159.5,574.3,4098.4,1088.6,2672.0,337.8
1993,Alaska,8.5,7.61,8.5,144.5,403383.5833333333,294227.0833333333,7.8,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,599000,760.8,9.0,83.8,122.4,545.6,4807.2,816.9,3539.4,450.9
1993,Arizona,0.0,7.61,7.61,144.5,3070311.0833333335,1941535.0833333333,6.366666666666667,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,3936000,715.0,8.6,37.8,162.9,505.7,6716.7,1465.5,4387.4,863.8
1993,Arkansas,6.53,7.61,7.61,144.5,1857667.0,1174327.9166666667,6.133333333333333,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,2424000,593.3,10.2,42.4,124.9,415.8,4217.5,1099.3,2795.7,322.5
1993,California,7.61,7.61,7.61,144.5,23149223.333333332,15266333.5,9.533333333333331,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,31211000,1077.8,13.1,37.7,405.1,621.8,5379.1,1327.0,3029.1,1023.0
1993,Colorado,5.37,7.61,7.61,144.5,2713377.3333333335,1929184.5,5.383333333333333,580658.0,6858.6,10684.2,3.0224999999999995,3.3083333333333336,3566000,567.3,5.8,45.8,116.7,399.0,4959.5,1009.8,3499.4,450.3
